Financial Year,Lot No.,Location,Disposal Type,User,Premium,Site Area (sm),District Council,Award Date,Remarks
2016/2017,ABERDEEN INLAND LOT NO. 462,YIP KAN STREET AND WONG CHUK HANG ROAD WONG CHUK HANG HONG KONG,TENDER,BUSINESS,2528,1764.8,SOUTHERN,12-Oct-16,N.A.
2016/2017,NEW KOWLOON INLAND LOT NO. 6533,LUNG CHEUNG ROAD BEACON HILL KOWLOON,TENDER,RESIDENTIAL R3,7268.8,21849,SHAM SHUI PO,5-Oct-16,N.A.
2016/2017,SHA TIN TOWN LOT NO. 614,LAI PING ROAD KAU TO SHA TIN NEW TERRITORIES,TENDER,RESIDENTIAL R2,1953,6299,SHA TIN,14-Sep-16,N.A.
2016/2017,TUEN MUN TOWN LOT NO. 516,TSING HA LANE AREA 20 TUEN MUN NEW TERRITORIES,TENDER,RESIDENTIAL R2,1401.038,5317,TUEN MUN,24-Aug-16,N.A.
2016/2017,TUEN MUN TOWN LOT NO. 547,CASTLE PEAK ROAD - CASTLE PEAK BAY AREA 48 TUEN MUN NEW TERRITORIES,TENDER,RESIDENTIAL R2,2708.8,15400,TUEN MUN,8-Aug-16,N.A.
2016/2017,NEW KOWLOON INLAND LOT NO. 6566,KAI TAK AREA 1K SITE 2 KOWLOON,TENDER,RESIDENTIAL R1,5868.988,9700,KOWLOON CITY,29-Dec-16,N.A.
2016/2017,NEW KOWLOON INLAND LOT NO. 6584,OFF SIN FAT ROAD KWUN TONG KOWLOON,TENDER,RESIDENTIAL R2,6388,18261,KWUN TONG,16-Nov-16,N.A.
2016/2017,TAI PO TOWN LOT NO. 229,LO FAI ROAD TAI PO NEW TERRITORIES,TENDER,RESIDENTIAL R3,1038,10288,TAI PO,9-Nov-16,N.A.
2016/2017,TAI PO TOWN LOT NO. 223,LO FAI ROAD TAI PO NEW TERRITORIES,TENDER,RESIDENTIAL R3,2355,21448,TAI PO,9-Nov-16,N.A.
2015/2016,TSING YI TOWN LOT NO. 190,SAI SHAN ROAD TSING YI NEW TERRITORIES,TENDER,RESIDENTIAL R1,---------,---------,KWAI TSING,---------,TENDER CANCELLED ON 4 NOVEMBER 2015
2015/2016,LOT NO. 1066 IN DEMARCATION DISTRICT NO. 103,AU TAU YUEN LONG NEW TERRITORIES,TENDER,RESIDENTIAL R3,---------,---------,YUEN LONG,---------,TENDER CANCELLED ON 25 JANUARY 2016
2015/2016,SHA TIN TOWN LOT NO. 607,21 ON SHAN LANE MA ON SHAM SHA TIN NEW TERRITORIES,TENDER,PETROL FILLING STATION,434.894999,2506,SHA TIN,17-Jun-15,A single amount of tender premium for the purchase of [SHA TIN TOWN LOT NO. 607] and SHA TIN TOWN LOT NO. 612] collectively as one package.
2015/2016,SHA TIN TOWN LOT NO. 612,8500 TAI PO ROAD – SHA TIN HEIGHTS SHA TIN NEW TERRITORIES,TENDER,PETROL FILLING STATION,434.894999,920.1,SHA TIN,17-Jun-15,A single amount of tender premium for the purchase of [SHA TIN TOWN LOT NO. 607] and SHA TIN TOWN LOT NO. 612] collectively as one package.
2015/2016,NEW KOWLOON INLAND LOT NO. 6542,YIN PING ROAD TAI WO PING KOWLOON,TENDER,RESIDENTIAL R2,7020,20401,SHAM SHUI PO,29-Sep-15,N.A.
2015/2016,TUEN MUN TOWN LOT NO. 542,CASTLE PEAK ROAD - CASTLE PEAK BAY AREA 48 TUEN MUN NEW TERRITORIES,TENDER,RESIDENTIAL R3,1730,8190,TUEN MUN,16-Sep-15,N.A.
2015/2016,YUEN LONG TOWN LOT NO. 532,JUNCTION OF WANG YIP STREET WEST AND HONG YIP STREET TUNG TAU INDUSTRIAL AREA YUEN LONG NEW TERRITORIES,TENDER,BUSINESS,1690,9246,YUEN LONG,23-Dec-15,N.A.
2015/2016,KOWLOON INLAND LOT NO. 11257,SHEUNG SHING STREET HO MAN TIN KOWLOON,TENDER,RESIDENTIAL R1,6381.217908,9074,KOWLOON CITY,2-Mar-16,N.A.
2015/2016,TAI PO TOWN LOT NO. 221,SHAN TONG ROAD LAI CHI SHAN TAI PO NEW TERRITORIES,TENDER,RESIDENTIAL R2,2130,37696,TAI PO,12-Feb-16,N.A.
2015/2016,NEW KOWLOON INLAND LOT NO. 6534,JUNCTION OF FUK WING STREET CAMP STREET AND FUK WA STREET SHAM SHUI PO KOWLOON,TENDER,RESIDENTIAL R1,1306.2202,3173,SHAM SHUI PO,3-Feb-16,N.A.
2015/2016,TUEN MUN TOWN LOT NO. 497,SO KWUN WAT ROAD AREA 56 TUEN MUN NEW TERRITORIES,TENDER,RESIDENTIAL R2,1056.13,6800,TUEN MUN,23-Dec-15,N.A.
2015/2016,LOT NO. 1909 IN DEMARCATION DISTRICT NO. 100,FAN KAM ROAD SHEUNG SHUI NEW TERRITORIES,TENDER,RESIDENTIAL R3,302.2,6409,NORTH,15-Apr-15,N.A.
2015/2016,SHA TIN TOWN LOT NO. 610,TAI PO ROAD – SHA TIN HEIGHTS SHA TIN NEW TERRITORIES,TENDER,RESIDENTIAL R3,245.09995,3300,SHA TIN,23-Mar-16,N.A.
2015/2016,RURAL BUILDING LOT NO. 1201,WONG MA KOK ROAD STANLEY HONG KONG,TENDER,RESIDENTIAL R3,2811,25300,SOUTHERN,15-Mar-16,N.A.
2015/2016,SHA TIN TOWN LOT NO. 617,ON YIU STREET SHEK MUN SHA TIN NEW TERRITORIES,TENDER,BUSINESS,675.5,1700,SHA TIN,20-Oct-15,N.A.
2015/2016,TUEN MUN TOWN LOT NO. 500,KWUN CHUI ROAD AREA 56 TUEN MUN NEW TERRITORIES,TENDER,RESIDENTIAL R2,3628.9,24336,TUEN MUN,17-Jun-15,N.A.
2015/2016,TUEN MUN TOWN LOT NO. 539,JUNCTION OF HOI WING ROAD AND HANG FU STREET AREA 16 TUEN MUN NEW TERRITORIES,TENDER,RESIDENTIAL R1,1319,4831,TUEN MUN,10-Jun-15,N.A.
2015/2016,NEW KOWLOON INLAND LOT NO. 6313,JUNCTION OF CHEUNG YIP STREET SHEUNG YEE ROAD AND WAI YIP STREET KOWLOON BAY KOWLOON,TENDER,COMMERCIAL / OFFICE,3038.88,3795,KWUN TONG,13-May-15,N.A.
2015/2016,LOT NO. 1181 IN DEMARCATION DISTRICT NO. 215,HONG KIN ROAD TUI MIN HOI SAI KUNG NEW TERRITORIES,TENDER,RESIDENTIAL R3,609,3424,SAI KUNG,29-Apr-15,N.A.
2015/2016,TAI PO TOWN LOT NO. 226,CHONG SAN ROAD PAK SHEK KOK TAI PO NEW TERRITORIES,TENDER,RESIDENTIAL R2,3030,17121,TAI PO,2-Sep-15,N.A.
2015/2016,TUEN MUN TOWN LOT NO. 541,SO KWUN WAT ROAD AREA 56 TUEN MUN NEW TERRITORIES,TENDER,RESIDENTIAL R2,3822.021036,27000,TUEN MUN,8-Jul-15,N.A.
2015/2016,LOT NO. 1872 IN DEMARCATION DISTRICT CHEUNG CHAU,FA PENG ROAD CHEUNG CHAU NEW TERRITORIES,TENDER,RESIDENTIAL R3,68.88888888,3410,ISLANDS,24-Jun-15,N.A.
2015/2016,SHA TIN TOWN LOT NO. 605,LOK WO SHA LANE MA ON SHAN SHA TIN NEW TERRITORIES,TENDER,RESIDENTIAL R2,1468.888888,5830,SHA TIN,13-May-15,N.A.
2015/2016,LOT NO. 2115 IN DEMARCATION DISTRICT NO. 105,JUNCTION OF SAN TAM ROAD AND MAPLE GARDENS 1ST STREET NGAU TAM MEI YUEN LONG NEW TERRITORIES,TENDER,RESIDENTIAL R3,548,8754,YUEN LONG,12-Aug-15,N.A.
2014/2015,NEW KOWLOON INLAND LOT NO. 6543,779 LAI CHI KOK ROAD KOWLOON,TENDER,PETROL FILLING STATION,---------,---------,SHAM SHUI PO,---------,TENDER WITHDRAWN ON 18 JUNE 2014
2014/2015,LOT NO. 758 IN DEMARCATION DISTRICT NO. 332,CHEUNG SHA LANTAU ISLAND NEW TERRITORIES,TENDER,RESIDENTIAL R3,290,4212,ISLANDS,24-Dec-14,N.A.
2014/2015,INLAND LOT NO. 9056,NEAR THE JUNCTION OF TAI ON STREET AND OI KAN ROAD SAI WAN HO HONG KONG,TENDER,MARINE FUELLING STATION,2.388,226.4,EASTERN,13-Jun-14,N.A.
2014/2015,TUEN MUN TOWN LOT NO. 499,TSENG CHOI STREET AREA 4 TUEN MUN NEW TERRITORIES,TENDER,RESIDENTIAL R2,232.8,2202,TUEN MUN,14-May-14,N.A.
2014/2015,SHAU KEI WAN INLAND LOT NO.854,JUNCTION OF OI KAN ROAD AND OI TAK STREET SHAU KEI WAN HONG KONG,TENDER,RESIDENTIAL R1,433.599,476.4,EASTERN,9-Apr-14,N.A.
2014/2015,NEW KOWLOON INLAND LOT NO. 6410,650 CHEUNG SHA WAN ROAD KOWLOON,TENDER,COMMERCIAL / OFFICE,1002,1498.4,SHAM SHUI PO,9-Apr-14,N.A.
2014/2015,TAI PO TOWN LOT NO. 214,FO YIN ROAD PAK SHEK KOK TAI PO NEW TERRITORIES,TENDER,RESIDENTIAL R2,2412,19400,TAI PO,28-May-14,N.A.
2014/2015,TSUEN WAN TOWN LOT NO. 393,YEUNG UK ROAD TSUEN WAN NEW TERRITORIES,TENDER,RESIDENTIAL AND COMMERCIAL / HOTEL,3939.8,14160,TSUEN WAN,13-Aug-14,N.A.
2014/2015,SHA TIN TOWN LOT NO. 599,MA KAM STREET MA ON SHAN SHA TIN NEW TERRITORIES,TENDER,RESIDENTIAL R1,703.8,3091,SHA TIN,25-Jun-14,N.A.
2014/2015,INLAND LOT NO. 9048,SCHOONER STREET WAN CHAI HONG KONG,TENDER,RESIDENTIAL R2,233,270,WAN CHAI,4-Jun-14,N.A.
2014/2015,NEW KOWLOON INLAND LOT NO. 6541,KAI TAK AREA 1H SITE 3 KOWLOON,TENDER,RESIDENTIAL R2,2520,7674,KOWLOON CITY,28-May-14,N.A.
2014/2015,TIN SHUI WAI TOWN LOT NO. 33,AREA 112 TIN SHUI WAI YUEN LONG NEW TERRITORIES,TENDER,RESIDENTIAL R3,2221.039864,75500,YUEN LONG,9-Jul-14,N.A.
2014/2015,ABERDEEN INLAND LOT NO. 465,3 WONG CHUK HANG ROAD HONG KONG,TENDER,PETROL FILLING STATION,258.6845,620.7,SOUTHERN,18-Sep-14,N.A.
2014/2015,KOWLOON INLAND LOT NO. 11237,15 MIDDLE ROAD TSIM SHA TSUI KOWLOON,TENDER,COMMERCIAL / OFFICE / HOTEL,4688,2630,YAU TSIM MONG,3-Sep-14,N.A.
2014/2015,TUEN MUN TOWN LOT NO. 512,LOK CHUI STREET AREA 59 TUEN MUN NEW TERRITORIES,TENDER,RESIDENTIAL R3,156.435713,1044.6,TUEN MUN,20-Aug-14,N.A.
2014/2015,TUEN MUN TOWN LOT NO. 513,YAN CHING STREET AREA 10 TUEN MUN NEW TERRITORIES,TENDER,RESIDENTIAL R1,427.1,1174,TUEN MUN,20-Aug-14,N.A.
2014/2015,SHA TIN TOWN LOT NO. 598,HANG KWONG STREET MA ON SHAN SHA TIN NEW TERRITORIES,TENDER,RESIDENTIAL R2,428,3100,SHA TIN,13-Aug-14,N.A.
2014/2015,TIN SHUI WAI TOWN LOT NO. 34,AREA 115 TIN SHUI WAI YUEN LONG NEW TERRITORIES,TENDER,RESIDENTIAL R3,1968.328149,64400,YUEN LONG,9-Jul-14,N.A.
2014/2015,INLAND LOT NO. 9060,WONG NAI CHUNG GAP ROAD HONG KONG,TENDER,PETROL FILLING STATION,187.983,668.9,WAN CHAI,18-Sep-14,N.A.
2014/2015,SHA TIN TOWN LOT NO. 601,YIU SHA ROAD WHITEHEAD MA ON SHAN SHA TIN NEW TERRITORIES,TENDER,RESIDENTIAL R3,2138,23500,SHA TIN,10-Dec-14,N.A.
2014/2015,TUEN MUN TOWN LOT NO. 515,KING SAU LANE AREA 4 TUEN MUN NEW TERRITORIES,TENDER,RESIDENTIAL R2,1051,11048,TUEN MUN,12-Nov-14,N.A.
2014/2015,TAI PO TOWN LOT NO. 213,FO CHUN ROAD PAK SHEK KOK TAI PO NEW TERRITORIES,TENDER,RESIDENTIAL R2,2542.88,19000,TAI PO,5-Nov-14,N.A.
2014/2015,TUNG CHUNG TOWN LOT NO. 38,AREA 53A TUNG CHUNG LANTAU ISLAND NEW TERRITORIES,TENDER,HOTEL,1830,12902,ISLANDS,22-Oct-14,N.A.
2014/2015,FANLING SHEUNG SHUI TOWN LOT NO. 255,JUNCTION OF LUEN HING STREET WO FUNG STREET AND LUEN SHING STREET LUEN WO HUI FANLING NEW TERRITORIES,TENDER,RESIDENTIAL R2,730,2828,NORTH,29-Sep-14,N.A.
2014/2015,YAU TONG INLAND LOT NO. 42,LEI YUE MUN PATH LEI YUE MUN KOWLOON,TENDER,RESIDENTIAL R1,1582,3240,KWUN TONG,17-Dec-14,N.A.
2014/2015,TUEN MUN TOWN LOT NO. 514,YIP WONG ROAD AREA 18 TUEN MUN NEW TERRITORIES,TENDER,RESIDENTIAL R2,428.8,2428,TUEN MUN,4-Feb-15,N.A.
2014/2015,KWAI CHUNG TOWN LOT NO. 518,HING FONG ROAD KWAI CHUNG NEW TERRITORIES,TENDER,RESIDENTIAL R1,372.1,810,KWAI TSING,27-Jan-15,N.A.
2014/2015,NEW KOWLOON INLAND LOT NO. 6512,JUNCTION OF HUNG YIP STREET WAI YIP STREET SHUN YIP STREET AND HOI BUN ROAD KWUN TONG KOWLOON,TENDER,COMMERCIAL / OFFICE,5860,6843,KWUN TONG,27-Jan-15,N.A.
2014/2015,KWAI CHUNG TOWN LOT NO. 495,KIN CHUEN STREET KWAI CHUNG NEW TERRITORIES,TENDER,BUSINESS,686.8,2781,KWAI TSING,14-Jan-15,N.A.
2014/2015,SHA TIN TOWN LOT NO. 587,TAI PO ROAD – TAI WAI SHA TIN NEW TERRITORIES,TENDER,RESIDENTIAL R3,773,6550,SHA TIN,7-Jan-15,N.A.
2014/2015,SHA TIN TOWN LOT NO. 604,MEI TIN ROAD TAI WAI SHA TIN NEW TERRITORIES,TENDER,RESIDENTIAL R1,148,687,SHA TIN,9-Apr-14,N.A.
2014/2015,TAI PO TOWN LOT NO. 225,AT THE JUNCTION OF FO CHUN ROAD AND POK YIN ROAD PAK SHEK KOK TAI PO NEW TERRITORIES,TENDER,RESIDENTIAL R2,3480,23239,TAI PO,4-Mar-15,N.A.
2014/2015,KWAI CHUNG TOWN LOT NO. 487,JUNCTION OF SHING YIU STREET WING KEI ROAD AND KWAI FUK ROAD KWAI CHUNG NEW TERRITORIES,TENDER,INDUSTRIAL,448.9,1264.6,KWAI TSING,11-Feb-15,N.A.
2014/2015,NEW KOWLOON INLAND LOT NO. 6532,LUNG CHEUNG ROAD BEACON HILL KOWLOON,TENDER,RESIDENTIAL R3,2389.8,10642,SHAM SHUI PO,11-Feb-15,N.A.
2014/2015,NEW KOWLOON INLAND LOT NO. 6543,779 LAI CHI KOK ROAD KOWLOON,TENDER,PETROL FILLING STATION,74.069998,606.9,SHAM SHUI PO,18-Sep-14,N.A.
2014/2015,SHA TIN TOWN LOT NO. 589,1 MAN LAI ROAD TAI WAI SHA TIN NEW TERRITORIES,TENDER,PETROL FILLING STATION,136.868,1070,SHA TIN,18-Jun-14,N.A.
2014/2015,RURAL BUILDING LOT NO. 1198,JUNCTION OF SHOUSON HILL ROAD WEST AND WONG CHUK HANG PATH HONG KONG,TENDER,RESIDENTIAL R3,2708.08,10860,SOUTHERN,14-May-14,N.A.
2013/2014,TAI PO TOWN LOT NO. 213,FO CHUN ROAD PAK SHEK KOK TAI PO NEW TERRITORIES,TENDER,RESIDENTIAL R2,---------,---------,TAI PO,---------,TENDER WITHDRAWN ON 12 MARCH 2014
2013/2014,NEW KOWLOON INLAND LOT NO. 6521,779 LAI CHI KOK ROAD KOWLOON,TENDER,PETROL FILLING STATION,---------,---------,SHAM SHUI PO,---------,TENDER WITHDRAWN ON 27 DECEMBER 2013
2013/2014,FANLING SHEUNG SHUI TOWN LOT NO. 247,SHA TAU KOK ROAD LUNG YEUK TAU FANLING NEW TERRITORIES,TENDER,PETROL FILLING STATION,202.188,947.2,NORTH,15-May-13,N.A.
2013/2014,LOT NO. 1985 IN SURVEY DISTRICT NO. 2,CLEAR WATER BAY ROAD SAI KUNG NEW TERRITORIES,TENDER,PETROL FILLING STATION,115.588,989.6,SAI KUNG,15-May-13,N.A.
2013/2014,LOT NO. 1180 IN DEMARCATION DISTRICT NO. 215,HONG TSUEN ROAD SAI KUNG TUK SAI KUNG NEW TERRITORIES,TENDER,RESIDENTIAL R3,850,8073,SAI KUNG,6-Nov-13,N.A.
2013/2014,SHA TIN TOWN LOT NO. 578,AREA 56A KAU TO SHA TIN NEW TERRITORIES,TENDER,RESIDENTIAL R3,2389.888888,17476,SHA TIN,18-Sep-13,N.A.
2013/2014,TSEUNG KWAN O TOWN LOT NO.93,AREA 68B1 TSEUNG KWAN O NEW TERRITORIES,TENDER,RESIDENTIAL R3,3000,26302,SAI KUNG,25-Jun-13,N.A.
2013/2014,TUEN MUN TOWN LOT NO. 434,JUNCTION OF KA WO LI HILL ROAD AND CASTLE PEAK ROAD- SO KWUN WAT AREA 55 SO KWUN WAT TUEN MUN NEW TERRITORIES,TENDER,RESIDENTIAL R3,156.8,3457,TUEN MUN,25-Jun-13,N.A.
2013/2014,TSEUNG KWAN O TOWN LOT NO. 122,WAN PO ROAD AREA 85 TSEUNG KWAN O NEW TERRITORIES,TENDER,HIGH-TIER DATA CENTRE,428,10300,SAI KUNG,9-Oct-13,N.A.
2013/2014,TSEUNG KWAN O TOWN LOT NO. 126,AREA 68B2 TSEUNG KWAN O NEW TERRITORIES,TENDER,RESIDENTIAL R3,3670.8,27421,SAI KUNG,10-Jul-13,N.A.
2013/2014,YUEN LONG TOWN LOT NO. 528,TAK YIP STREET TUNG TAU YUEN LONG NEW TERRITORIES,TENDER,RESIDENTIAL R2,751,4303,YUEN LONG,4-Sep-13,N.A.
2013/2014,SHA TIN TOWN LOT NO. 579,AREA 56A KAU TO SHA TIN NEW TERRITORIES,TENDER,RESIDENTIAL R3,2710,32900,SHA TIN,4-Sep-13,N.A.
2013/2014,TUEN MUN TOWN LOT NO. 435,CASTLE PEAK ROAD- TAI LAM AREA 55 SIU SAU TUEN MUN NEW TERRITORIES,TENDER,RESIDENTIAL R3,563.18,11626,TUEN MUN,1-Aug-13,N.A.
2013/2014,LOT NO. 750 IN DEMARCATION DISTRICT NO. 332,SOUTH LANTAU ROAD CHEUNG SHA LANTAU ISLAND NEW TERRITORIES,TENDER,RESIDENTIAL R4,93.5,1438.2,ISLANDS,10-Jul-13,N.A.
2013/2014,SHA TIN TOWN LOT NO. 563,AREA 56A KAU TO SHA TIN NEW TERRITORIES,TENDER,RESIDENTIAL R3,1220,5950,SHA TIN,1-Aug-13,N.A.
2013/2014,LOT NO. 2640 IN DEMARCATION DISTRICT NO. 92,CASTLE PEAK ROAD- KWU TUNG SHEUNG SHUI NEW TERRITORIES,TENDER,RESIDENTIAL R2,2888,14333,NORTH,13-Nov-13,N.A.
2013/2014,NEW KOWLOON INLAND LOT NO. 6312,JUNCTION OF WANG CHIU ROAD AND LAM LEE STREET KOWLOON BAY KOWLOON,TENDER,COMMERCIAL,2638,4297,KWUN TONG,6-Nov-13,N.A.
2013/2014,INLAND LOT NO. 9036,COTTON TREE DRIVE HONG KONG,TENDER,HOTEL,4400,6330,CENTRAL & WESTERN,6-Nov-13,N.A.
2013/2014,TUEN MUN TOWN LOT NO. 498,WU ON STREET AREA 44 TUEN MUN NEW TERRITORIES,TENDER,RESIDENTIAL R2,551,2231,TUEN MUN,17-Oct-13,N.A.
2013/2014,INLAND LOT NO. 9049,SIK ON STREET WAN CHAI HONG KONG,TENDER,RESIDENTIAL R2,139.9,208,WAN CHAI,18-Sep-13,N.A.
2013/2014,LOT NO. 1003 IN DEMARCATION DISTRICT NO. 40,JUNCTION OF SHUN LUNG STREET AND SHUN CHEONG STREET SHA TAU KOK NEW TERRITORIES,TENDER,RESIDENTIAL R2,143,3344,NORTH,17-Oct-13,N.A.
2013/2014,NEW KOWLOON INLAND LOT NO. 6526,KAI TAK AREA 1I SITE 2 KAI TAK KOWLOON,TENDER,RESIDENTIAL R1,2938.8,9313,KOWLOON CITY,25-Feb-14,N.A.
2013/2014,TUEN MUN TOWN LOT NO. 508,JUNCTION OF TSUN WEN ROAD AND LEUNG TAK STREET AREA 2 TUEN MUN NEW TERRITORIES,TENDER,RESIDENTIAL R1,455.878888,3109,TUEN MUN,12-Feb-14,N.A.
2013/2014,KWUN TONG INLAND LOT NO. 761,JUNCTION OF HANG YIP STREET WAI YIP STREET YAN YIP STREET AND KWUN TONG ROAD KWUN TONG KOWLOON,TENDER,COMMERCIAL,3769,5112,KWUN TONG,15-Jan-14,N.A.
2013/2014,TUEN MUN TOWN LOT NO. 495,KWUN FUNG STREET SIU LAM TUEN MUN NEW TERRITORIES,TENDER,RESIDENTIAL R4,60.08,1960,TUEN MUN,11-Dec-13,N.A.
2013/2014,TUEN MUN TOWN LOT NO. 490,CASTLE PEAK ROAD TAI LAM TUEN MUN NEW TERRITORIES,TENDER,RESIDENTIAL R3,138.8,2050,TUEN MUN,11-Dec-13,N.A.
2013/2014,TSING LUNG TAU LOT NO. 70,TSING LUNG TAU TSUEN WAN NEW TERRITORIES,TENDER,RESIDENTIAL R3,500.18,4868,TSUEN WAN,13-Nov-13,N.A.
2013/2014,SHA TIN TOWN LOT NO. 603,LOK LAM ROAD FO TAN SHA TIN NEW TERRITORIES,TENDER,RESIDENTIAL R3,210.1,1190,SHA TIN,15-Jan-14,N.A.
2013/2014,SHA TIN TOWN LOT NO. 581,WHITEHEAD MA ON SHAN SHA TIN NEW TERRITORIES,TENDER,RESIDENTIAL R3,1826,37700,SHA TIN,25-Mar-14,N.A.
2013/2014,LOT NO. 1681 IN DEMARCATION DISTRICT NO. 243,JUNCTION OF PIK SHA ROAD AND CLEAR WATER BAY ROAD SAI KUNG NEW TERRITORIES,TENDER,RESIDENTIAL R3,160,1242.7,SAI KUNG,12-Mar-14,N.A.
2013/2014,NEW KOWLOON INLAND LOT NO. 6527,KAI TAK AREA 1I SITE 3 KAI TAK KOWLOON,TENDER,RESIDENTIAL R1,3923.420999,10149,KOWLOON CITY,25-Feb-14,N.A.
2013/2014,NEW KOWLOON INLAND LOT NO. 6525,KAI TAK AREA 1I SITE 1 KAI TAK KOWLOON,TENDER,RESIDENTIAL R1,2911,8780,KOWLOON CITY,25-Feb-14,N.A.
2013/2014,TUEN MUN TOWN LOT NO. 509,LEUNG TAK STREET AREA 2 TUEN MUN NEW TERRITORIES,TENDER,RESIDENTIAL R1,430,2440,TUEN MUN,12-Feb-14,N.A.
2013/2014,LOT NO. 682 IN DEMARCATION DISTRICT PENG CHAU,KAU YUK ROAD PENG CHAU NEW TERRITORIES,TENDER,RESIDENTIAL R3,21,1742,ISLANDS,25-Mar-14,N.A.
2013/2014,NEW KOWLOON INLAND LOT NO. 6517,SITE 1H2 KAI TAK KOWLOON,TENDER,RESIDENTIAL R2,2270,8585,KOWLOON CITY,5-Jun-13,N.A.
2013/2014,NEW KOWLOON INLAND LOT NO. 6516,SITE 1H1 KAI TAK KOWLOON,TENDER,RESIDENTIAL R2,2270,7771,KOWLOON CITY,5-Jun-13,N.A.
2013/2014,TSING YI TOWN LOT NO. 185,JUNCTION OF TSING HUNG ROAD AND TSING YI ROAD TSING YI NEW TERRITORIES,TENDER,LOGISTICS DEVELOPMENT PURPOSES,1692.6,21000,KWAI TSING,28-May-13,N.A.
2013/2014,TUEN MUN TOWN LOT NO. 430,FU SHING STREET AREA 52 FU TEI TUEN MUN NEW TERRITORIES,TENDER,RESIDENTIAL R4,53.2,3173,TUEN MUN,10-Apr-13,N.A.
2013/2014,TSEUNG KWAN O TOWN LOT NO. 112,AREA 65C1 TSEUNG KWAN O NEW TERRITORIES,TENDER,RESIDENTIAL R3,2449.2,13922,SAI KUNG,10-Apr-13,N.A.
2013/2014,SHA TIN TOWN LOT NO. 482,PO TAI STREET MA ON SHAN SHA TIN NEW TERRITORIES,TENDER,COMMERCIAL,661.888999,5090,SHA TIN,14-Jun-13,N.A.
2013/2014,KOWLOON INLAND LOT NO. 11228,JUNCTION OF FAT KWONG STREET AND SHEUNG FOO STREET HO MAN TIN KOWLOON,TENDER,RESIDENTIAL R2,3829,7714,KOWLOON CITY,14-Jun-13,N.A.
2012/2013,INLAND LOT NO. 9027,JAVA ROAD AND TIN CHIU STREET NORTH POINT HONG KONG,TENDER,RESIDENTIAL AND COMMERCIAL,6910,23400,EASTERN,11-Jul-12,N.A.
2012/2013,INLAND LOT NO. 9020,NORTH POINT ESTATE LANE AND SHU KUK STREET NORTH POINT HONG KONG,TENDER,HOTEL,2722,5369,EASTERN,27-Mar-13,N.A.
2012/2013,ABERDEEN INLAND LOT NO. 458,NAM FUNG PATH HONG KONG,TENDER,HOSPITAL,1688,27500,SOUTHERN,13-Mar-13,N.A.
2012/2013,KWAI CHUNG TOWN LOT NO. 510,101 CASTLE PEAK ROAD KWAI CHUNG NEW TERRITORIES,TENDER,PETROL FILLING STATION,69.87,2091,KWAI TSING,12-Apr-12,N.A.
2012/2013,KOWLOON INLAND LOT NO. 11227,JUNCTION OF SHEUNG LOK STREET AND SHEUNG SHING STREET HO MAN TIN KOWLOON,TENDER,RESIDENTIAL R2,11687.88,24077,KOWLOON CITY,13-Mar-13,N.A.
2012/2013,LOT NO. 1949 IN DEMARCATION DISTRICT NO. 221,SHA KOK MEI SAI KUNG NEW TERRITORIES,TENDER,RESIDENTIAL R3,1455,15430,SAI KUNG,9-Jan-13,N.A.
2012/2013,LOT NO. 678 IN DEMARCATION DISTRICT PENG CHAU,PANG LEI ROAD PENG CHAU NEW TERRITORIES,TENDER,RESIDENTIAL AND COMMERCIAL,80.8,5200,ISLANDS,30-Aug-12,N.A.
2012/2013,KOWLOON INLAND LOT NO. 11229,KWUN CHUNG STREET KOWLOON,TENDER,RESIDENTIAL R1,193.746288,271.3,YAU TSIM MONG,13-Dec-12,N.A.
2012/2013,LOT NO. 674 IN DEMARCATION DISTRICT PENG CHAU,TUNG WAN PENG CHAU NEW TERRITORIES,TENDER,RESIDENTIAL R3,31,1780.3,ISLANDS,28-Sep-12,N.A.
2012/2013,SHA TIN TOWN LOT NO. 562,AREA 56A KAU TO  SHA TIN NEW TERRITORIES,TENDER,RESIDENTIAL  R3,531.5,4680,SHA TIN,24-May-12,N.A.
2012/2013,RURAL BUILDING LOT NO. 1165,NEAR 110 REPULSE BAY ROAD HONG KONG,TENDER,RESIDENTIAL R3,1668,4340,SOUTHERN,2-May-12,N.A.
2012/2013,NEW KOWLOON INLAND LOT NO. 6311,JUNCTION OF SHEUNG YUET ROAD WANG TAI ROAD AND WANG YUEN STREET KOWLOON BAY KOWLOON,TENDER,BUSINESS,1818.3,2579,KWUN TONG,28-Nov-12,N.A.
2012/2013,TSEUNG KWAN O TOWN LOT NO. 114,AREA 66C1 TSEUNG KWAN O NEW TERRITORIES,TENDER,RESIDENTIAL  R2,1033,4352,SAI KUNG,24-May-12,N.A.
2012/2013,SHA TIN TOWN LOT NO. 567,AREA 56A KAU TO  SHA TIN NEW TERRITORIES,TENDER,RESIDENTIAL R3,3038,19700,SHA TIN,30-Aug-12,N.A.
2012/2013,SHA TIN TOWN LOT NO. 566,AREA 56A KAU TO SHA TIN NEW TERRITORIES,TENDER,RESIDENTIAL R3,1420,8080,SHA TIN,27-Mar-13,N.A.
2012/2013,SHA TIN TOWN LOT NO. 565,AREA 56A KAU TO SHA TIN NEW TERRITORIES,TENDER,RESIDENTIAL R3,1466.888888,8590,SHA TIN,9-Jan-13,N.A.
